Du;Au;Nom de la course;Catégorie;Organisateur;Discipline;Département;lieu
09/09/23;10/09/23;TOUR DU PAYS VOIRONNAIS;Open3 hommes et +;U.C. VOIRONNAISE;Route;38;PAYS VOIRONNAIS
09/09/23;09/09/23;GRAND PRIX DE LA VILLE DE BELLEY;Access hommes;U.C. CULOZ/BELLEY;Route;1;BELLEY
09/09/23;09/09/23;GRAND PRIX DE LA VILLE DE BELLEY;Open2 hommes et +;U.C. CULOZ/BELLEY;Route;1;BELLEY
09/09/23;09/09/23;LA CLASSIC JP DUBUISSON U19;U19 hommes fédéral;CLASSIC JEAN PATRICK DUBUISSON ORGANISATIONS ;Route;3;CHAZEMAIS
09/09/23;09/09/23;PRIX DU COMITE DES FETES DE LAPALISSE;Open1 hommes et +;AVENIR CYCLISTE CUSSET ;Route;3;LAPALISSE
08/09/23;10/09/23;COUPE DE FRANCE FENIOUX UCI;Toutes catégories;A.C. LYON VAISE;Piste;69;LYON - VÉLODROME GEORGES PRÉVERAL - PARC DE LA TÊTE D'OR
07/09/23;17/09/23;COUPE DU MONDE MTB UCI XCO/XCC/DHI;XC Toutes catégories;FFC Direction Activités Sportives;VTT;74;LES GETS
07/09/23;17/09/23;COUPE DU MONDE MTB UCI XCM/ENDURO/E-ENDURO;Enduro;FFC Direction Activités Sportives;VTT;74;CHATEL & MORZINE
05/09/23;11/09/23;TOUR CYCLISTE INTERNATIONALE FEMININ DE L'ARDECHE;UCI Femmes;VC VALLEE RHONE ARDECHOISE;Route;7;
03/09/23;03/09/23;PRIX DE PELUSSIN;U17 hommes;U.C. PELUSSIN;Route;42;PELUSSIN
03/09/23;03/09/23;PRIX DE PELUSSIN;Elite hommes (régional) et +;U.C. PELUSSIN;Route;42;PELUSSIN
03/09/23;03/09/23;TDJV 74 R-VTT (XCO/XCE);Ecole de VTT;R. VTT;VTT;74;VILLE-LA-GRAND
